,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,2501.3,2401.4,2303.4,2207.5,2113.7,2021.8,1932.1,1844.3,1758.6,1675,1593.4,1513.8,1436.3,1360.8,1287.3,1215.9,1146.5,1079.2,1013.9,950.67,889.46,830.3,773.17,718.08,665.04,614.03,565.07,518.14,473.26,430.42,389.62,350.85,314.13,279.45,246.81,216.21,187.66,161.14,136.66,114.22,93.829,75.473,59.159,44.884,32.651,22.458,14.306,8.1938,4.1227,2.0922,2.1023,4.153,8.2443,14.376,22.549,32.762,45.016,59.31,75.645,94.021,114.44,136.89,161.39,187.93,216.51,247.13,279.79,314.49,351.23,390.01,430.83,473.69,518.6,565.54,614.53,665.55,718.62,773.72,830.87,890.06,951.29,1014.6,1079.9,1147.2,1216.6,1288,1361.5,1437,1514.6,1594.2,1675.8,1759.5,1845.2,1933,2022.7,2114.6,2208.5,2304.4,2402.3,2502.3
2,2449.9,2351,2254.1,2159.2,2066.3,1975.5,1886.8,1800.1,1715.4,1632.8,1552.2,1473.6,1397.1,1322.6,1250.2,1179.8,1111.4,1045.1,980.87,918.64,858.45,800.31,744.2,690.13,638.11,588.12,540.18,494.28,450.41,408.59,368.81,331.07,295.37,261.71,230.09,200.51,172.97,147.47,124.02,102.6,83.223,65.888,50.593,37.339,26.126,16.953,9.8211,4.7296,1.6787,0.66836,1.6987,4.7696,9.8811,17.033,26.226,37.459,50.733,66.048,83.403,102.8,124.24,147.71,173.23,200.79,230.39,262.03,295.71,331.43,369.19,408.99,450.83,494.72,540.64,588.6,638.61,690.65,744.74,800.87,859.03,919.24,981.49,1045.8,1112.1,1180.5,1250.9,1323.3,1397.8,1474.4,1552.9,1633.6,1716.2,1800.9,1887.6,1976.4,2067.2,2160.1,2255,2351.9,2450.9,2551.9
3,2401.9,2304,2208.1,2114.2,2022.4,1932.6,1844.9,1759.2,1675.5,1593.9,1514.4,1436.8,1361.3,1287.9,1216.5,1147.1,1079.8,1014.5,951.23,890.02,830.86,773.73,718.64,665.6,614.59,565.63,518.7,473.82,430.98,390.17,351.41,314.69,280.01,247.37,216.77,188.21,161.69,137.22,114.78,94.384,76.028,59.713,45.439,33.205,23.012,14.859,8.7476,4.6762,2.6455,2.6554,4.7059,8.797,14.929,23.101,33.314,45.568,59.862,76.196,94.572,114.99,137.44,161.94,188.48,217.06,247.68,280.34,315.04,351.78,390.56,431.38,474.24,519.15,566.09,615.08,666.1,719.17,774.27,831.42,890.61,951.84,1015.1,1080.4,1147.8,1217.2,1288.6,1362.1,1437.6,1515.1,1594.7,1676.3,1760,1845.7,1933.5,2023.3,2115.1,2209,2304.9,2402.9,2502.9,2604.9
4,2355.9,2259,2164.1,2071.2,1980.4,1891.7,1805,1720.3,1637.7,1557.1,1478.5,1402,1327.5,1255.1,1184.7,1116.4,1050,985.77,923.54,863.35,805.21,749.1,695.03,643.01,593.02,545.08,499.17,455.31,413.49,373.71,335.96,300.26,266.6,234.98,205.4,177.87,152.37,128.91,107.49,88.119,70.783,55.489,42.234,31.021,21.848,14.716,9.6239,6.5728,5.5623,6.5924,9.6631,14.774,21.926,31.119,42.352,55.626,70.94,88.295,107.69,129.13,152.6,178.12,205.68,235.28,266.92,300.6,336.32,374.08,413.88,455.72,499.6,545.53,593.49,643.5,695.54,749.63,805.75,863.92,924.13,986.38,1050.7,1117,1185.4,1255.8,1328.2,1402.7,1479.3,1557.8,1638.4,1721.1,1805.8,1892.5,1981.3,2072.1,2165,2259.9,2356.8,2455.8,2556.8,2659.9
5,2311.7,2215.8,2121.9,2030.1,1940.4,1852.6,1766.9,1683.3,1601.6,1522.1,1444.5,1369,1295.6,1224.2,1154.8,1087.5,1022.2,958.94,897.74,838.57,781.44,726.35,673.31,622.3,573.34,526.41,481.53,438.69,397.88,359.12,322.4,287.72,255.08,224.48,195.92,169.4,144.93,122.49,102.09,83.737,67.422,53.147,40.913,30.72,22.567,16.455,12.383,10.352,10.362,12.412,16.503,22.635,30.807,41.02,53.273,67.567,83.902,102.28,122.69,145.15,169.65,196.18,224.76,255.38,288.04,322.74,359.48,398.26,439.08,481.95,526.85,573.79,622.78,673.8,726.87,781.97,839.12,898.31,959.54,1022.8,1088.1,1155.5,1224.9,1296.3,1369.8,1445.3,1522.8,1602.4,1684,1767.7,1853.4,1941.2,2031,2122.8,2216.7,2312.6,2410.6,2510.6,2612.6,2716.7
6,2269.4,2174.5,2081.7,1990.9,1902.1,1815.4,1730.7,1648.1,1567.5,1488.9,1412.4,1338,1265.5,1195.1,1126.8,1060.5,996.21,933.98,873.79,815.64,759.54,705.47,653.44,603.46,555.51,509.61,465.75,423.92,384.14,346.4,310.7,277.04,245.42,215.84,188.3,162.8,139.35,117.93,98.552,81.217,65.922,52.667,41.453,32.28,25.148,20.056,17.005,15.994,17.024,20.094,25.205,32.357,41.549,52.782,66.056,81.37,98.725,118.12,139.56,163.03,188.55,216.11,245.71,277.35,311.02,346.74,384.51,424.31,466.15,510.03,555.96,603.92,653.92,705.97,760.05,816.18,874.35,934.56,996.8,1061.1,1127.4,1195.8,1266.2,1338.7,1413.1,1489.7,1568.3,1648.9,1731.5,1816.2,1902.9,1991.7,2082.5,2175.4,2270.3,2367.2,2466.2,2567.2,2670.3,2775.4
7,2228.9,2135.1,2043.3,1953.5,1865.7,1780.1,1696.4,1614.8,1535.2,1457.7,1382.2,1308.7,1237.3,1167.9,1100.6,1035.3,972.08,910.87,851.7,794.57,739.48,686.44,635.43,586.47,539.54,494.66,451.82,411.01,372.25,335.53,300.85,268.21,237.61,209.05,182.53,158.05,135.62,115.22,96.864,80.549,66.274,54.04,43.846,35.693,29.581,25.509,23.478,23.488,25.538,29.628,35.76,43.932,54.144,66.397,80.691,97.025,115.4,135.82,158.27,182.77,209.31,237.88,268.5,301.16,335.86,372.6,411.38,452.21,495.07,539.97,586.91,635.9,686.92,739.99,795.09,852.24,911.43,972.66,1035.9,1101.2,1168.6,1238,1309.4,1382.9,1458.4,1535.9,1615.5,1697.2,1780.8,1866.6,1954.3,2044.1,2135.9,2229.8,2325.7,2423.7,2523.7,2625.7,2729.8,2835.9
8,2190.3,2097.5,2006.7,1917.9,1831.2,1746.5,1663.9,1583.3,1504.8,1428.2,1353.8,1281.3,1211,1142.6,1076.3,1012,949.79,889.6,831.45,775.35,721.28,669.25,619.27,571.32,525.42,481.56,439.73,399.95,362.21,326.51,292.85,261.23,231.65,204.11,178.61,155.15,133.74,114.36,97.024,81.728,68.474,57.26,48.087,40.954,35.862,32.81,31.799,32.829,35.899,41.01,48.162,57.354,68.587,81.86,97.174,114.53,133.92,155.36,178.84,204.35,231.91,261.51,293.15,326.83,362.55,400.31,440.11,481.95,525.83,571.76,619.72,669.72,721.77,775.85,831.98,890.15,950.35,1012.6,1076.9,1143.2,1211.6,1282,1354.5,1428.9,1505.5,1584,1664.7,1747.3,1832,1918.7,2007.5,2098.3,2191.2,2286.1,2383,2482,2583,2686.1,2791.2,2898.3
9,2153.6,2061.7,1972,1884.2,1798.5,1714.9,1633.3,1553.7,1476.2,1400.7,1327.2,1255.8,1186.4,1119.1,1053.8,990.56,929.35,870.18,813.05,757.97,704.92,653.92,604.95,558.03,513.14,470.3,429.49,390.73,354.01,319.33,286.69,256.09,227.53,201.01,176.53,154.1,133.7,115.34,99.028,84.753,72.518,62.324,54.171,48.059,43.987,41.955,41.965,44.015,48.105,54.236,62.408,72.62,84.873,99.167,115.5,133.88,154.29,176.75,201.24,227.78,256.36,286.98,319.64,354.34,391.08,429.86,470.68,513.54,558.44,605.39,654.37,705.39,758.46,813.57,870.71,929.9,991.13,1054.4,1119.7,1187.1,1256.4,1327.9,1401.3,1476.9,1554.4,1634,1715.6,1799.3,1885,1972.8,2062.6,2154.4,2248.3,2344.2,2442.2,2542.2,2644.2,2748.3,2854.4,2962.6
10,2118.6,2027.8,1939.1,1852.4,1767.7,1685.1,1604.5,1525.9,1449.4,1374.9,1302.5,1232.1,1163.8,1097.4,1033.2,970.94,910.75,852.6,796.5,742.43,690.4,640.42,592.47,546.57,502.7,460.88,421.1,383.36,347.65,313.99,282.37,252.79,225.26,199.76,176.3,154.88,135.51,118.17,102.87,89.619,78.405,69.231,62.098,57.006,53.954,52.943,53.973,57.043,62.153,69.305,78.497,89.729,103,118.32,135.67,155.07,176.5,199.98,225.49,253.05,282.65,314.29,347.97,383.69,421.45,461.25,503.09,546.97,592.9,640.86,690.86,742.91,796.99,853.12,911.29,971.49,1033.7,1098,1164.4,1232.7,1303.1,1375.6,1450.1,1526.6,1605.2,1685.8,1768.5,1853.1,1939.9,2028.7,2119.5,2212.3,2307.2,2404.2,2503.1,2604.2,2707.2,2812.3,2919.5,3028.6
